SCHOOL NO.,ENGLISH CATEGORY,ùùù___ÑO,ENGLISH NAME,ùùù_°W‰_,ENGLISH ADDRESS,ùùù_°aÑ},LONGITUDE,îg∏_,LATITUDE,©n∏_,EASTING,Ñù¶æÌF,NORTHING,Ñù¶æ¢_,STUDENTS GENDER,_NèÌΩ_¢_ˆ∆ÑO,SESSION,Ω_˜_œì©í˜ê_–,DISTRICT,ù£_ù,FINANCE TYPE,î_ÑU‰ù__,SCHOOL LEVEL,Ω_˜___∏›,TELEPHONE,ëp_î_qî_,FAX NUMBER,___uî_©X,WEBSITE,‰_—_,RELIGION,ˆvœæ
572365000000,Aided Primary Schools,î_ÑUùpΩ_,SALVATION ARMY CENTALINE CHARITY FUND SC,œù¢@—xùù—çúO_©__Ì_Ω_˜_,9 WAH HA STREET CHAI WAN HONG KONG,—å__˜__W_ùúH_´ùEî_,114-14-15,114-14-15,22-15-43,22-15-43,842514,842514,813692,813692,CO-ED,_kùk,WHOLE DAY,¢_ù_,EASTERN,ÌF_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25562292,25562292,25562722,25562722,http://www.saccf.edu.hk,http://www.saccf.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
511404000000,Aided Primary Schools,î_ÑUùpΩ_,ELCHK FAITH LOVE LUTHERAN SCHOOL,__ú_œæ—å__∏Hîqú|∏HúRΩ_˜_,ESTATE SCHOOL NO.2 YUE WAN ESTATE CHAI WAN HONG KONG,—å__˜__W‰˜_W?ç_ùG˜y˜_Ì_,114-14-32,114-14-32,22-15-60,22-15-60,843000,843000,814202,814202,CO-ED,_kùk,WHOLE DAY,¢_ù_,EASTERN,ÌF_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25562442,25562442,28984212,28984212,http://www.cwflls.edu.hk,http://www.cwflls.edu.hk,PROTESTANTISM / CHRISTIANITY,__ú_œæ
575607000000,Aided Primary Schools,î_ÑUùpΩ_,SHAM TSENG CATHOLIC PRIMARY SCHOOL,ç`ù∏ùÛ¢DœæùpΩ_,37 CASTLE PEAK ROAD SHAM TSENG TSUEN WAN NEW TERRITORIES,ús›ê___W∏Cùsù©î_ç`ù∏›q37î_,114-3-38,114-3-38,22-22-3,22-22-3,824279,824279,825371,825371,CO-ED,_kùk,WHOLE DAY,¢_ù_,TSUEN WAN,___W_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24903912,24903912,24903913,24903913,http://www.stcpri.edu.hk,http://www.stcpri.edu.hk,CATHOLICISM,ùÛ¢Dœæ
511846000000,Aided Primary Schools,î_ÑUùpΩ_,FRESH FISH TRADERS' SCHOOL,ìAÅ©°_Ω_˜_,33 SYCAMORE STREET TAI KOK TSUI KOWLOON,ùE£sùj_ùˆCî_‰qåR_´33î_,114-9-51,114-9-51,22-19-29,22-19-29,834948,834948,820626,820626,CO-ED,_kùk,WHOLE DAY,¢_ù_,YAU TSIM MONG,Ìo°yˆ__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23938958,23938958,23966702,23966702,http://www.ffts.edu.hk,http://www.ffts.edu.hk,NOT APPLICABLE,ù_ΩA¢_
115320000000,Aided Primary Schools,î_ÑUùpΩ_,CUHKFAA THOMAS CHEUNG SCHOOL,—å__ùùù_ùjΩ_˜_ù_ú|ëpú|œi?ˆ_Ω_˜_,KA TIN COURT HIN KENG ESTATE SHATIN NEW TERRITORIES,ús›ê_F¢æè_˜|?_è¢æ—b,114-10-21,114-10-21,22-21-39,22-21-39,835815,835815,824627,824627,CO-ED,_kùk,WHOLE DAY,¢_ù_,SHA TIN,_F¢æ_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26931898,26931898,26936538,26936538,http://www.tcps.edu.hk,http://www.tcps.edu.hk,NOT APPLICABLE,ù_ΩA¢_
115053000000,Aided Primary Schools,î_ÑUùpΩ_,AD&FDPOHL MRS CHENG YAM ON SCHOOL,Å_úRì__|Ω_ˆ–ë`çzëp©Öú|ΩG¢_°wùíùHΩ_˜_,3 TUEN LEE STREET TUEN MUN NEW TERRITORIES,ús›êù_Ì_ù_ÑQ_´3î_,113-58-44,113-58-44,22-23-31,22-23-31,815871,815871,828085,828085,CO-ED,_kùk,WHOLE DAY,¢_ù_,TUEN MUN,ù_Ì__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24512333,24512333,26183120,26183120,http://www.mcyos.edu.hk,http://www.mcyos.edu.hk,NOT APPLICABLE,ù_ΩA¢_
512648000000,Aided Primary Schools,î_ÑUùpΩ_,LI SING TAI HANG SCHOOL,Ñ__¢ùjÑ|Ω_˜_,73 WUN SHA STREET TAI HANG HONG KONG,—å__ùjÑ|íF_©_´73î_,114-11-38,114-11-38,22-16-38,22-16-38,838025,838025,815376,815376,CO-ED,_kùk,WHOLE DAY,¢_ù_,WAN CHAI,_W¢J_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25775188,25775188,28824510,28824510,http://www.lsths.edu.hk,http://www.lsths.edu.hk,NOT APPLICABLE,ù_ΩA¢_
115126000000,Aided Primary Schools,î_ÑUùpΩ_,SUNG TAK WONG KIN SHEUNG MEMORIAL SCHOOL,ùj˜HœR¶w_£∏ùœ`›_ˆ£Ω_˜_,TUNG CHEONG STREET TAI PO NEW TERRITORIES,ús›êùj˜HÌFˆ__´,114-10-10,114-10-10,22-26-56,22-26-56,835496,835496,834387,834387,CO-ED,_kùk,WHOLE DAY,¢_ù_,TAI PO,ùj˜H_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26535565,26535565,26562856,26562856,http://www.wks.edu.hk,http://www.wks.edu.hk,NOT APPLICABLE,ù_ΩA¢_
511196000000,Aided Primary Schools,î_ÑUùpΩ_,BISHOP FORD MEMORIAL SCHOOL,‰_¶wΩ_˜_,20 PUI MAN STREET TUNG TAU TSUEN KOWLOON,ùE£sÌF£YÑ___¢ë_´20î_,114-11-24,114-11-24,22-20-7,22-20-7,837628.9,837628.9,821787.1,821787.1,CO-ED,_kùk,WHOLE DAY,¢_ù_,WONG TAI SIN,_£ùj¢P_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,23360206,23360206,23368325,23368325,http://www.bfordms.edu.hk,http://www.bfordms.edu.hk,CATHOLICISM,ùÛ¢Dœæ
115665000000,Aided Primary Schools,î_ÑUùpΩ_,PLK TIN KA PING PRIMARY SCHOOL,∏O_}Ñ©¢æ˜a›œùpΩ_,"AREA 6, WAN TAU TONG ESTATE TAI PO NEW TERRITORIES",ús›êùj˜Hç_ùå_ù_B£Y_?,114-10-1,114-10-1,22-26-29,22-26-29,835247,835247,833561,833561,CO-ED,_kùk,WHOLE DAY,¢_ù_,TAI PO,ùj˜H_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26521222,26521222,26518832,26518832,http://www.plktkp.edu.hk,http://www.plktkp.edu.hk,NOT APPLICABLE,ù_ΩA¢_
150720000000,Aided Primary Schools,î_ÑUùpΩ_,CHI HONG PRIMARY SCHOOL,úO__Ω_˜_,1 YUEN CHEONG LANE SHATIN NEW TERRITORIES,ús›ê_F¢æú©ˆ__©1î_,114-11-50,114-11-50,22-22-56,22-22-56,838351,838351,827000,827000,CO-ED,_kùk,WHOLE DAY,¢_ù_,SHA TIN,_F¢æ_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26486834,26486834,26364129,26364129,http://www.chihong.edu.hk,http://www.chihong.edu.hk,BUDDHISM,°_œæ
